"uninjured_rep1" "uninjured_rep2" "regen_rep1" "regen_rep2"
"ENSDARG00000032083" 346 293 1649 1374
"ENSDARG00000032087" 820 691 1006 999
"ENSDARG00000032098" 39 44 24 46
"ENSDARG00000032102" 1015 719 1804 1678
"ENSDARG00000032103" 510 525 3304 3350
"ENSDARG00000032111" 1267 769 695 685
"ENSDARG00000032114" 765 829 1038 1066
"ENSDARG00000032116" 161 169 368 351
"ENSDARG00000032117" 715 704 2883 2509
"ENSDARG00000032126" 10 3 17 17
"ENSDARG00000032129" 870 775 1913 1898
"ENSDARG00000032131" 71 44 77 97
"ENSDARG00000032155" 2475 2263 1781 1827
"ENSDARG00000032157" 2626 2521 2885 2971
"ENSDARG00000032161" 2169 1772 4295 4456
"ENSDARG00000032169" 2540 2755 2013 2737
"ENSDARG00000032175" 2575 2046 3573 4111
"ENSDARG00000032188" 727 742 1857 1962
"ENSDARG00000032197" 272 170 271 271
"ENSDARG00000032199" 300 293 200 262
"ENSDARG00000032200" 427 381 611 669
"ENSDARG00000032206" 154 136 190 192
"ENSDARG00000032211" 162 133 217 232
"ENSDARG00000032218" 458 441 589 595
"ENSDARG00000032221" 613 507 1080 949
"ENSDARG00000032234" 96 70 82 94
"ENSDARG00000032237" 257 253 846 848
"ENSDARG00000032238" 407 286 601 655
"ENSDARG00000032242" 60 43 96 66
"ENSDARG00000032246" 57 62 67 73
"ENSDARG00000032256" 479 430 768 752
"ENSDARG00000032261" 852 676 1164 1274
"ENSDARG00000032263" 567 604 541 510
"ENSDARG00000032264" 159 194 1282 1191
"ENSDARG00000032272" 117 129 1132 1571
"ENSDARG00000032277" 456 322 252 253
"ENSDARG00000032285" 58 75 72 136
"ENSDARG00000032296" 991 832 3129 3178
"ENSDARG00000032298" 149 135 285 309
"ENSDARG00000032317" 1020 842 1442 1551
"ENSDARG00000032318" 588 620 519 469
"ENSDARG00000032319" 283 227 563 487
"ENSDARG00000032324" 882 721 1232 1416
"ENSDARG00000032326" 181 134 282 291
"ENSDARG00000032327" 1688 1282 1794 1865
"ENSDARG00000032340" 260 276 1071 1092
"ENSDARG00000032344" 104 94 112 119
"ENSDARG00000032348" 294 176 528 388
"ENSDARG00000032353" 565 413 974 1031
"ENSDARG00000032369" 330 242 717 651
"ENSDARG00000032372" 22 25 29 31
"ENSDARG00000032373" 1766 1515 2458 2820
"ENSDARG00000032380" 16 9 15 17
"ENSDARG00000032389" 119 83 42 54
"ENSDARG00000032405" 2928 2013 14242 13623
"ENSDARG00000032426" 168 158 563 644
"ENSDARG00000032430" 2687 2542 8671 8092
"ENSDARG00000032431" 53 58 178 190
"ENSDARG00000032435" 107 98 522 589
"ENSDARG00000032444" 15 14 30 37
"ENSDARG00000032458" 4618 5358 3452 3610
"ENSDARG00000032459" 389 376 1653 1508
"ENSDARG00000032465" 15 12 15 19
"ENSDARG00000032469" 3826 2961 3982 4274
"ENSDARG00000032477" 8 6 12 14
"ENSDARG00000032482" 1121 1115 2755 2456
"ENSDARG00000032485" 119 136 224 266
"ENSDARG00000032493" 99 101 227 210
"ENSDARG00000032496" 2004 2123 1460 1840
"ENSDARG00000032505" 402 284 562 549
"ENSDARG00000032516" 202 198 407 461
"ENSDARG00000032532" 2315 2525 5311 5579
"ENSDARG00000032535" 215 288 1240 1271
"ENSDARG00000032552" 336 326 302 310
"ENSDARG00000032553" 93 69 73 65
"ENSDARG00000032564" 916 766 1443 1531
"ENSDARG00000032565" 19 43 64 70
"ENSDARG00000032571" 923 573 375 544
"ENSDARG00000032575" 26676 25271 43407 45500
"ENSDARG00000032577" 215 218 296 256
"ENSDARG00000032578" 493 460 526 565
"ENSDARG00000032584" 70 60 212 224
"ENSDARG00000032601" 1557 1149 1306 1650
"ENSDARG00000032603" 172 125 287 270
"ENSDARG00000032606" 1789 1456 3043 2977
"ENSDARG00000032614" 247 289 630 611
"ENSDARG00000032617" 1120 909 1831 1633
"ENSDARG00000032618" 825 715 820 927
"ENSDARG00000032619" 5459 3793 2087 2289
"ENSDARG00000032623" 249 481 171 206
"ENSDARG00000032626" 584 531 440 670
"ENSDARG00000032627" 484 457 668 604
"ENSDARG00000032630" 143 110 85 92
"ENSDARG00000032631" 31 29 66 53
"ENSDARG00000032637" 0 0 4 8
"ENSDARG00000032639" 20 10 21 15
"ENSDARG00000032640" 452 454 729 766
"ENSDARG00000032650" 714 591 505 513
"ENSDARG00000032651" 2366 2209 3248 3115
"ENSDARG00000032653" 1336 981 361 362
"ENSDARG00000032704" 172 135 278 297
"ENSDARG00000032705" 2 0 4 8
"ENSDARG00000032708" 3968 3253 1257 1443
"ENSDARG00000032714" 190 163 135 151
"ENSDARG00000032724" 2391 1876 4198 4420
"ENSDARG00000032725" 84599 49672 41911 41841
"ENSDARG00000032737" 60 58 86 142
"ENSDARG00000032738" 4501 3293 3018 3174
"ENSDARG00000032743" 0 1 45 22
"ENSDARG00000032746" 142 86 191 172
"ENSDARG00000032750" 1079 827 2702 2552
"ENSDARG00000032761" 201 223 315 335
"ENSDARG00000032765" 11738 11531 7206 7194
"ENSDARG00000032768" 4559 2404 2351 2710
"ENSDARG00000032769" 526 534 539 617
"ENSDARG00000032780" 320 333 991 975
"ENSDARG00000032795" 2753 2104 2084 2888
"ENSDARG00000032799" 165 133 126 153
"ENSDARG00000032801" 9332 6301 1473 1368
"ENSDARG00000032802" 5440 4315 4823 4830
"ENSDARG00000032808" 158 204 139 166
"ENSDARG00000032816" 42 58 132 151
"ENSDARG00000032820" 2074 1780 940 944
"ENSDARG00000032826" 44 68 57 79
"ENSDARG00000032831" 1571 1396 5616 5413
"ENSDARG00000032836" 47 40 68 57
"ENSDARG00000032838" 76 62 23 43
"ENSDARG00000032849" 211 164 545 422
"ENSDARG00000032856" 216 219 478 525
"ENSDARG00000032859" 84 56 111 153
"ENSDARG00000032862" 753 846 530 541
"ENSDARG00000032865" 67 63 72 62
"ENSDARG00000032866" 1832 1524 3346 3692
"ENSDARG00000032868" 6550 4078 3514 3483
"ENSDARG00000032876" 369 356 581 638
"ENSDARG00000032896" 67 83 97 107
"ENSDARG00000032919" 1214 926 781 803
"ENSDARG00000032929" 22 11 26 15
"ENSDARG00000032932" 1225 1062 929 1022
"ENSDARG00000032933" 541 489 799 825
"ENSDARG00000032951" 1896 1663 1928 2317
"ENSDARG00000032959" 205 197 104 139
"ENSDARG00000032963" 10 13 49 48
"ENSDARG00000032970" 6118 5151 9275 9430
"ENSDARG00000032975" 10 12 7 8
"ENSDARG00000032976" 52 0 0 1
"ENSDARG00000032984" 451 377 749 744
"ENSDARG00000032985" 180 177 514 539
"ENSDARG00000032990" 541 469 846 956
"ENSDARG00000032997" 1467 947 1131 1098
"ENSDARG00000033009" 2035 1671 4268 4021
"ENSDARG00000033012" 2295 1978 3369 3359
"ENSDARG00000033020" 150 133 120 129
"ENSDARG00000033029" 32 24 23 25
"ENSDARG00000033042" 662 713 516 539
"ENSDARG00000033046" 49 74 62 84
"ENSDARG00000033056" 1 1 6 3
"ENSDARG00000033071" 401 342 161 210
"ENSDARG00000033088" 4230 3573 3318 3526
"ENSDARG00000033089" 165 176 454 456
"ENSDARG00000033099" 530 399 1584 1535
"ENSDARG00000033104" 7 4 6 3
"ENSDARG00000033121" 347 335 264 326
"ENSDARG00000033126" 242 217 448 449
"ENSDARG00000033134" 141 115 321 281
"ENSDARG00000033138" 316 219 320 264
"ENSDARG00000033140" 295 422 220 453
"ENSDARG00000033143" 539 477 1104 1027
"ENSDARG00000033144" 3438 3069 4498 4829
"ENSDARG00000033160" 575 282 67 111
"ENSDARG00000033170" 557 603 835 934
"ENSDARG00000033171" 196 230 723 876
"ENSDARG00000033172" 30 31 42 28
"ENSDARG00000033175" 354 354 1526 1847
"ENSDARG00000033179" 261 260 424 509
"ENSDARG00000033182" 610 328 196 183
"ENSDARG00000033184" 3536 2777 5688 5698
"ENSDARG00000033201" 125 97 89 92
"ENSDARG00000033227" 1290 749 509 694
"ENSDARG00000033231" 162 152 215 240
"ENSDARG00000033234" 428 303 437 495
"ENSDARG00000033251" 2000 2047 1016 1010
"ENSDARG00000033259" 744 699 1189 1216
"ENSDARG00000033273" 77 81 447 522
"ENSDARG00000033280" 59 81 87 75
"ENSDARG00000033285" 795 763 2106 2261
"ENSDARG00000033296" 213 140 149 140
"ENSDARG00000033307" 1415 1079 3357 2867
"ENSDARG00000033320" 222 216 126 189
"ENSDARG00000033327" 356 408 3248 4157
"ENSDARG00000033345" 604 530 572 721
"ENSDARG00000033355" 102 88 132 116
"ENSDARG00000033361" 709 714 1115 1291
"ENSDARG00000033364" 1674 1397 4005 4720
"ENSDARG00000033367" 332 263 488 510
"ENSDARG00000033370" 33 58 241 232
"ENSDARG00000033376" 83 126 451 470
"ENSDARG00000033380" 24 33 48 59
"ENSDARG00000033382" 3 5 7 8
"ENSDARG00000033393" 0 0 47 58
"ENSDARG00000033411" 56 71 47 69
"ENSDARG00000033413" 271 272 438 402
"ENSDARG00000033418" 863 687 1047 1114
"ENSDARG00000033426" 1113 844 1189 1389
"ENSDARG00000033428" 1916 1708 3475 3017
"ENSDARG00000033436" 741 746 1443 1494
"ENSDARG00000033437" 1503 1438 2167 2402
"ENSDARG00000033440" 2594 1560 2394 2523
"ENSDARG00000033443" 970 760 1197 1407
"ENSDARG00000033444" 450 388 160 167
"ENSDARG00000033446" 536 494 762 703
"ENSDARG00000033447" 49 50 69 94
"ENSDARG00000033450" 877 661 1084 1150
"ENSDARG00000033451" 58 53 160 201
"ENSDARG00000033466" 12219 10003 13401 14783
"ENSDARG00000033473" 6 4 11 11
"ENSDARG00000033489" 771 735 1339 1317
"ENSDARG00000033498" 20 15 8 10
"ENSDARG00000033501" 1078 808 604 765
"ENSDARG00000033508" 1 3 9 10
"ENSDARG00000033516" 124 110 97 114
"ENSDARG00000033533" 200 225 394 489
"ENSDARG00000033537" 286 240 2711 2547
"ENSDARG00000033539" 3592 2767 5769 5434
"ENSDARG00000033544" 160 242 209 254
"ENSDARG00000033548" 174 186 383 471
"ENSDARG00000033551" 528 407 449 498
"ENSDARG00000033556" 345 229 78 97
"ENSDARG00000033566" 9 21 25 18
"ENSDARG00000033567" 42 43 445 513
"ENSDARG00000033579" 120 85 100 92
"ENSDARG00000033586" 390 269 489 482
"ENSDARG00000033587" 73 98 134 81
"ENSDARG00000033589" 553 572 928 1125
"ENSDARG00000033594" 129 65 54 102
"ENSDARG00000033596" 351 355 939 940
"ENSDARG00000033597" 1883 1852 5888 5637
"ENSDARG00000033599" 6 4 14 36
"ENSDARG00000033604" 474 551 2919 3334
"ENSDARG00000033609" 1432 1153 1797 1672
"ENSDARG00000033610" 194 157 396 382
"ENSDARG00000033614" 1914 1389 559 605
"ENSDARG00000033616" 701 808 8304 8713
"ENSDARG00000033635" 11 7 35 32
"ENSDARG00000033647" 910 714 1690 1614
"ENSDARG00000033655" 199 166 266 285
"ENSDARG00000033660" 286 288 194 261
"ENSDARG00000033662" 44 32 155 194
"ENSDARG00000033666" 573 502 856 815
"ENSDARG00000033680" 1072 868 2011 2115
"ENSDARG00000033683" 13 5 17 13
"ENSDARG00000033684" 129 46 43 55
"ENSDARG00000033706" 37 25 99 104
"ENSDARG00000033707" 1412 1127 1410 1532
"ENSDARG00000033709" 340 239 43 42
"ENSDARG00000033713" 302 399 511 523
"ENSDARG00000033727" 3 3 3 4
"ENSDARG00000033733" 670 553 668 804
"ENSDARG00000033735" 304 242 284 256
"ENSDARG00000033738" 12382 10800 29571 29416
"ENSDARG00000033742" 818 869 1265 1287
"ENSDARG00000033754" 389 206 253 276
"ENSDARG00000033757" 130 161 1069 1056
"ENSDARG00000033760" 8 6 25 22
"ENSDARG00000033768" 600 472 984 892
"ENSDARG00000033771" 161 134 181 209
"ENSDARG00000033789" 1520 958 1774 2120
"ENSDARG00000033802" 332 349 418 495
"ENSDARG00000033804" 510 385 508 551
"ENSDARG00000033811" 275 234 679 685
"ENSDARG00000033824" 563 518 666 506
"ENSDARG00000033832" 12 7 18 22
"ENSDARG00000033840" 786 786 2257 2499
"ENSDARG00000033845" 557 569 897 971
"ENSDARG00000033852" 253 264 1060 979
"ENSDARG00000033854" 29 22 52 41
"ENSDARG00000033855" 549 466 1581 1561
"ENSDARG00000033861" 216 162 359 336
"ENSDARG00000033865" 70 47 45 55
"ENSDARG00000033871" 111 83 135 122
"ENSDARG00000033872" 562 483 589 711
"ENSDARG00000033889" 1042 960 1169 1219
"ENSDARG00000033899" 1860 1568 5361 5002
"ENSDARG00000033901" 204 182 565 659
"ENSDARG00000033909" 82 102 237 236
"ENSDARG00000033916" 427 452 795 806
"ENSDARG00000033928" 2685 2508 3498 3323
"ENSDARG00000033945" 1927 1351 2223 2212
"ENSDARG00000033950" 2398 2113 855 880
"ENSDARG00000033953" 527 592 369 380
"ENSDARG00000033954" 3 6 5 4
"ENSDARG00000033955" 32 39 125 138
"ENSDARG00000033956" 5 5 3 4
"ENSDARG00000033957" 563 553 657 733
"ENSDARG00000033963" 22 5 1 3
"ENSDARG00000033965" 1110 1090 2016 2008
"ENSDARG00000033967" 86 83 205 235
"ENSDARG00000033971" 1743 1540 7265 7320
"ENSDARG00000033973" 244 165 426 526
"ENSDARG00000033978" 449 342 1170 1125
"ENSDARG00000033987" 1124 1075 1598 1701
"ENSDARG00000033993" 516 572 1320 1390
"ENSDARG00000033999" 3267 3825 2856 3281
"ENSDARG00000034001" 464 402 592 571
"ENSDARG00000034007" 6 8 18 19
"ENSDARG00000034011" 166 163 168 180
"ENSDARG00000034013" 750 560 938 931
"ENSDARG00000034025" 141 123 116 174
"ENSDARG00000034042" 141 164 137 178
"ENSDARG00000034043" 959 624 1362 1187
"ENSDARG00000034048" 8 12 7 12
"ENSDARG00000034056" 1005 868 2461 2267
"ENSDARG00000034058" 1276 1330 734 1078
"ENSDARG00000034060" 572 477 801 759
"ENSDARG00000034062" 676 778 1370 1418
"ENSDARG00000034063" 1261 849 1258 1270
"ENSDARG00000034070" 34 25 42 31
"ENSDARG00000034076" 255 223 340 483
"ENSDARG00000034077" 789 432 455 468
"ENSDARG00000034080" 7151 5738 6578 6896
"ENSDARG00000034086" 167 205 138 126
"ENSDARG00000034092" 70 71 111 79
"ENSDARG00000034093" 398 390 592 666
"ENSDARG00000034095" 12158 9937 5625 7063
"ENSDARG00000034098" 54 48 39 31
"ENSDARG00000034105" 3171 2126 1378 1501
"ENSDARG00000034107" 1219 688 815 1109
"ENSDARG00000034117" 4582 3738 10278 10740
"ENSDARG00000034138" 2 1 4 3
"ENSDARG00000034146" 673 500 1425 1183
"ENSDARG00000034160" 452 391 641 643
"ENSDARG00000034165" 4 10 136 133
"ENSDARG00000034168" 3 6 2 4
"ENSDARG00000034173" 149 111 103 84
"ENSDARG00000034174" 281 182 362 457
"ENSDARG00000034178" 793 741 2802 2603
"ENSDARG00000034181" 193 189 389 331
"ENSDARG00000034187" 856 671 811 803
"ENSDARG00000034189" 202 216 662 662
"ENSDARG00000034195" 2894 2818 7341 7355
"ENSDARG00000034201" 290 229 361 370
"ENSDARG00000034203" 2 2 6 4
"ENSDARG00000034207" 684 642 476 444
"ENSDARG00000034210" 812 708 1221 1396
"ENSDARG00000034211" 2482 2669 2078 2472
"ENSDARG00000034222" 109 95 213 205
"ENSDARG00000034227" 79 35 157 163
"ENSDARG00000034229" 252 205 206 279
"ENSDARG00000034240" 4561 3676 6756 6477
"ENSDARG00000034243" 356 196 132 87
"ENSDARG00000034256" 194 172 445 469
"ENSDARG00000034262" 1191 1155 1186 1215
"ENSDARG00000034264" 244 234 230 260
"ENSDARG00000034268" 2120 1898 4570 4041
"ENSDARG00000034270" 2993 2771 6040 5400
"ENSDARG00000034273" 22 22 18 31
"ENSDARG00000034291" 39966 25872 23764 25102
"ENSDARG00000034293" 5225 4820 11344 10148
"ENSDARG00000034300" 343 299 672 668
"ENSDARG00000034307" 14 23 28 31
"ENSDARG00000034309" 336 278 962 980
"ENSDARG00000034313" 1306 1339 3357 3414
"ENSDARG00000034321" 36 40 49 37
"ENSDARG00000034326" 1242 785 1440 1438
"ENSDARG00000034330" 241 178 51 78
"ENSDARG00000034344" 117 114 705 639
"ENSDARG00000034358" 410 387 630 597
"ENSDARG00000034368" 2629 2782 4004 3826
"ENSDARG00000034369" 652 579 1139 1344
"ENSDARG00000034373" 738 637 4645 4881
"ENSDARG00000034375" 602 495 2535 2359
"ENSDARG00000034396" 917 910 2806 2575
"ENSDARG00000034403" 340 350 1031 1164
"ENSDARG00000034409" 1072 1274 2110 2229
"ENSDARG00000034420" 18 11 63 69
"ENSDARG00000034423" 467 351 268 313
"ENSDARG00000034424" 511 318 501 534
"ENSDARG00000034427" 2721 2263 5753 5524
"ENSDARG00000034429" 5 4 6 12
"ENSDARG00000034430" 96 106 86 118
"ENSDARG00000034434" 604 634 998 1202
"ENSDARG00000034443" 201 161 612 636
"ENSDARG00000034453" 181 147 136 124
"ENSDARG00000034457" 33 32 51 53
"ENSDARG00000034466" 57 53 55 48
"ENSDARG00000034467" 1418 1578 729 513
"ENSDARG00000034470" 35 25 59 49
"ENSDARG00000034473" 2274 1754 3139 3479
"ENSDARG00000034480" 991 851 1401 1447
"ENSDARG00000034493" 65 51 182 152
"ENSDARG00000034497" 447 478 901 921
"ENSDARG00000034503" 2217 1920 1744 1812
"ENSDARG00000034504" 124 79 148 122
"ENSDARG00000034518" 1677 1164 1392 1253
"ENSDARG00000034522" 624 546 473 479
"ENSDARG00000034528" 7 21 78 70
"ENSDARG00000034534" 1257 1190 3247 2810
"ENSDARG00000034541" 2883 2501 2169 2071
"ENSDARG00000034555" 3629 3687 3217 3712
"ENSDARG00000034559" 581 598 1576 1327
"ENSDARG00000034568" 330 368 386 349
"ENSDARG00000034572" 434 330 373 377
"ENSDARG00000034577" 5 8 0 5
"ENSDARG00000034588" 404 490 164 128
"ENSDARG00000034598" 69 73 62 79
"ENSDARG00000034600" 879 935 2543 2625
"ENSDARG00000034604" 180 176 107 123
"ENSDARG00000034605" 85 107 184 243
"ENSDARG00000034610" 2 2 7 4
"ENSDARG00000034616" 1423 1059 3055 2951
"ENSDARG00000034624" 94 102 929 927
"ENSDARG00000034628" 18 21 14 14
"ENSDARG00000034633" 160 180 594 702
"ENSDARG00000034643" 1030 1027 3454 3293
"ENSDARG00000034650" 11 4 82 118
"ENSDARG00000034662" 156 180 222 231
"ENSDARG00000034667" 8 12 14 12
"ENSDARG00000034668" 385 306 260 293
"ENSDARG00000034670" 1050 820 1768 1787
"ENSDARG00000034677" 6687 7530 3873 4040
"ENSDARG00000034685" 1420 1150 3052 3011
"ENSDARG00000034693" 417 314 523 560
"ENSDARG00000034700" 80 98 262 262
"ENSDARG00000034705" 749 729 636 717
"ENSDARG00000034707" 395 301 295 282
"ENSDARG00000034710" 519 577 935 900
"ENSDARG00000034714" 1164 1069 1712 1674
"ENSDARG00000034717" 521 405 269 291
"ENSDARG00000034718" 3112 2573 6990 7066
"ENSDARG00000034734" 504 376 903 908
"ENSDARG00000034753" 5552 4852 6946 6950
"ENSDARG00000034757" 278 308 172 162
"ENSDARG00000034763" 82 73 1052 1039
"ENSDARG00000034768" 1506 1284 1759 1646
"ENSDARG00000034771" 11790 7608 9544 9984
"ENSDARG00000034773" 149 173 1618 1499
"ENSDARG00000034777" 899 675 1269 1318
"ENSDARG00000034785" 467 470 908 931
"ENSDARG00000034801" 370 333 1021 1033
"ENSDARG00000034808" 22 24 40 42
"ENSDARG00000034817" 1819 1712 2379 2401
"ENSDARG00000034823" 2580 2413 7915 7629
"ENSDARG00000034825" 2081 2067 1289 1483
"ENSDARG00000034826" 519 386 999 1151
"ENSDARG00000034836" 209 194 375 325
"ENSDARG00000034852" 75 45 44 128
"ENSDARG00000034855" 152 144 935 811
"ENSDARG00000034871" 1643 1536 1563 1565
"ENSDARG00000034877" 8 6 7 15
"ENSDARG00000034883" 468 398 402 503
"ENSDARG00000034885" 163 167 579 613
"ENSDARG00000034893" 797 636 863 799
"ENSDARG00000034894" 1511 1463 6473 6904
"ENSDARG00000034895" 88 117 318 282
"ENSDARG00000034896" 212 168 636 611
"ENSDARG00000034897" 58061 35301 35909 34308
"ENSDARG00000034907" 338 352 351 372
"ENSDARG00000034910" 49 38 32 27
"ENSDARG00000034916" 971 951 2622 2988
"ENSDARG00000034930" 2 3 1 4
"ENSDARG00000034933" 83 96 113 158
"ENSDARG00000034940" 51 33 54 67
"ENSDARG00000034941" 115 101 317 320
"ENSDARG00000034943" 987 1183 1564 1597
"ENSDARG00000034946" 31 24 46 64
"ENSDARG00000034956" 3657 3019 757 819
"ENSDARG00000034957" 237 126 376 402
"ENSDARG00000034961" 8494 5243 9222 10234
"ENSDARG00000034975" 242 182 263 300
"ENSDARG00000034982" 502 441 1036 1021
"ENSDARG00000034988" 29 28 28 50
"ENSDARG00000035005" 18 16 78 69
"ENSDARG00000035009" 109 107 69 99
"ENSDARG00000035018" 10855 8617 13334 13383
"ENSDARG00000035023" 3221 1882 1687 1987
"ENSDARG00000035028" 1225 857 441 553
"ENSDARG00000035043" 2066 1692 2614 3084
"ENSDARG00000035054" 1239 1276 2300 2563
"ENSDARG00000035056" 181 163 197 289
"ENSDARG00000035066" 2395 2136 3961 3820
"ENSDARG00000035074" 318 375 873 880
"ENSDARG00000035080" 52 43 79 68
"ENSDARG00000035084" 1311 1117 2577 2717
"ENSDARG00000035088" 30 27 25 25
"ENSDARG00000035095" 1 3 5 2
"ENSDARG00000035101" 0 1 47 24
"ENSDARG00000035103" 1121 576 1510 1801
"ENSDARG00000035116" 90 69 123 166
"ENSDARG00000035120" 2864 3192 1627 1828
"ENSDARG00000035122" 1478 1490 1225 1266
"ENSDARG00000035126" 1678 1489 3004 2858
"ENSDARG00000035127" 496 400 535 607
"ENSDARG00000035129" 441 345 721 624
"ENSDARG00000035131" 297 367 2167 2170
"ENSDARG00000035132" 285 248 594 651
"ENSDARG00000035133" 175 196 115 152
"ENSDARG00000035136" 15249 13796 11482 13340
"ENSDARG00000035137" 36 30 57 43
"ENSDARG00000035146" 333 333 712 764
"ENSDARG00000035147" 209 191 623 586
"ENSDARG00000035148" 158 132 261 266
"ENSDARG00000035149" 123 106 182 164
"ENSDARG00000035150" 25 21 503 695
"ENSDARG00000035151" 15 10 266 359
"ENSDARG00000035152" 2565 1991 4347 4262
"ENSDARG00000035158" 109 145 287 274
"ENSDARG00000035161" 65 74 162 192
"ENSDARG00000035163" 1 11 10 17
"ENSDARG00000035167" 180 130 370 437
"ENSDARG00000035169" 13 10 41 70
"ENSDARG00000035175" 721 651 1104 1319
"ENSDARG00000035178" 1088 883 611 927
"ENSDARG00000035181" 259 262 336 312
"ENSDARG00000035184" 216 209 316 373
"ENSDARG00000035185" 472 199 451 430
"ENSDARG00000035187" 2313 1959 3873 3964
"ENSDARG00000035188" 376 310 530 536
"ENSDARG00000035193" 47 48 81 67
"ENSDARG00000035198" 815 847 293 378
"ENSDARG00000035214" 5 0 3 2
"ENSDARG00000035215" 669 631 656 748
"ENSDARG00000035221" 1081 920 1263 1641
"ENSDARG00000035225" 448 380 597 545
"ENSDARG00000035227" 500 453 435 452
"ENSDARG00000035253" 449 531 341 356
"ENSDARG00000035256" 379 292 103 77
"ENSDARG00000035257" 64 63 41 63
"ENSDARG00000035264" 612 519 1119 1232
"ENSDARG00000035273" 687 745 3017 3106
"ENSDARG00000035282" 380 265 934 928
"ENSDARG00000035285" 5543 4389 6393 5979
"ENSDARG00000035290" 8 5 3 9
"ENSDARG00000035308" 1005 1110 1588 1727
"ENSDARG00000035309" 222 262 225 189
"ENSDARG00000035322" 43 49 53 65
"ENSDARG00000035323" 212 165 376 403
"ENSDARG00000035324" 3192 3163 9419 10199
"ENSDARG00000035325" 2150 1570 2962 2800
"ENSDARG00000035326" 4008 3044 3453 3596
"ENSDARG00000035327" 77 25 180 131
"ENSDARG00000035329" 12042 11289 10061 10096
"ENSDARG00000035330" 1756 1508 2953 3021
"ENSDARG00000035332" 201 225 345 367
"ENSDARG00000035333" 71 77 315 312
"ENSDARG00000035339" 14 18 7 11
"ENSDARG00000035340" 1 4 2 3
"ENSDARG00000035352" 223 199 515 482
"ENSDARG00000035357" 558 474 901 747
"ENSDARG00000035360" 1813 1622 1471 1497
"ENSDARG00000035366" 6 3 4 1
"ENSDARG00000035377" 17 17 14 14
"ENSDARG00000035379" 420 314 482 494
"ENSDARG00000035389" 1743 1634 2488 2771
"ENSDARG00000035390" 495 509 654 746
"ENSDARG00000035391" 223 200 233 333
"ENSDARG00000035398" 401 402 994 819
"ENSDARG00000035399" 216 188 434 515
"ENSDARG00000035400" 67698 34868 18575 19143
"ENSDARG00000035406" 325 247 361 396
"ENSDARG00000035415" 624 455 191 223
"ENSDARG00000035420" 1081 856 1334 1268
"ENSDARG00000035422" 15 14 192 117
"ENSDARG00000035423" 2979 3077 22907 19448
"ENSDARG00000035427" 280 219 534 564
"ENSDARG00000035433" 410 411 727 918
"ENSDARG00000035434" 234 203 284 349
"ENSDARG00000035435" 7 2 31 16
"ENSDARG00000035437" 2 14 43 45
"ENSDARG00000035438" 5 8 2 7
"ENSDARG00000035452" 1074 1090 2018 2306
"ENSDARG00000035459" 82 78 109 95
"ENSDARG00000035468" 32 52 306 311
"ENSDARG00000035470" 305 256 799 877
"ENSDARG00000035471" 994 839 823 917
"ENSDARG00000035505" 432 325 1183 1085
"ENSDARG00000035506" 6621 6139 3078 3182
"ENSDARG00000035507" 327 304 454 447
"ENSDARG00000035508" 12 14 24 16
"ENSDARG00000035514" 1282 1096 1520 1635
"ENSDARG00000035515" 520 475 724 905
"ENSDARG00000035519" 1784 699 874 1169
"ENSDARG00000035521" 1012 908 1824 1550
"ENSDARG00000035530" 11 7 3 4
"ENSDARG00000035532" 348 311 286 389
"ENSDARG00000035533" 67 55 41 46
"ENSDARG00000035535" 2029 1722 3190 3111
"ENSDARG00000035538" 78 80 202 202
"ENSDARG00000035540" 559 530 890 825
"ENSDARG00000035544" 194 168 255 311
"ENSDARG00000035546" 198 222 181 196
"ENSDARG00000035549" 318 219 213 247
"ENSDARG00000035551" 6 6 5 2
"ENSDARG00000035552" 121 92 763 780
"ENSDARG00000035553" 8 16 11 11
"ENSDARG00000035555" 13 22 8 9
"ENSDARG00000035556" 2804 2760 3670 3586
"ENSDARG00000035557" 2991 2661 4291 4072
"ENSDARG00000035558" 942 707 1053 1135
"ENSDARG00000035559" 2385 2359 4993 5304
"ENSDARG00000035560" 36 23 10 17
"ENSDARG00000035561" 78 100 87 94
"ENSDARG00000035562" 1042 855 239 173
"ENSDARG00000035563" 1019 782 1361 1417
"ENSDARG00000035564" 1447 1390 2660 3054
"ENSDARG00000035565" 461 510 1079 1060
"ENSDARG00000035569" 176 162 107 125
"ENSDARG00000035570" 207 173 285 351
"ENSDARG00000035571" 605 532 523 492
"ENSDARG00000035573" 563 546 726 965
"ENSDARG00000035577" 742 699 1507 1464
"ENSDARG00000035578" 65 54 53 53
"ENSDARG00000035579" 51 51 139 119
"ENSDARG00000035595" 284 300 669 767
"ENSDARG00000035596" 1782 1525 1817 2161
"ENSDARG00000035598" 4097 3486 7734 7556
"ENSDARG00000035601" 0 1 3 11
"ENSDARG00000035602" 0 0 4 6
"ENSDARG00000035603" 6 3 24 22
"ENSDARG00000035605" 436 353 714 682
"ENSDARG00000035606" 7 13 11 5
"ENSDARG00000035607" 369 392 613 619
"ENSDARG00000035608" 907 840 1747 1895
"ENSDARG00000035609" 27 31 40 36
"ENSDARG00000035610" 2737 2273 1526 1854
"ENSDARG00000035618" 177 179 346 376
"ENSDARG00000035622" 9735 7017 12985 12623
"ENSDARG00000035625" 565 490 1099 1374
"ENSDARG00000035629" 371 393 766 704
"ENSDARG00000035630" 602 439 1020 1094
