"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "threshold" "external_gene_name"
"64" "ENSDARG00000056087" 6263.78215233936 4.7312946708014 0.176306159124068 7.29720983481756e-160 8.42128419978925e-157 TRUE "ecrg4a"
"65" "ENSDARG00000085732" 6.29694998615395 4.71017119498823 2.71508577614931 0.00114042630737064 0.00324695594523484 TRUE "BX470176.1"
"67" "ENSDARG00000052520" 1521.88685801264 4.70094299169098 0.203939383255642 9.83792586685471e-119 5.92350071161467e-116 TRUE "sgms2a"
"68" "ENSDARG00000053130" 2815.30823171403 4.67820679491083 0.171065713640796 8.60026080265527e-166 1.19100711725571e-162 TRUE "pcp4a"
"69" "ENSDARG00000032743" 14.5578746363942 4.67661525587985 1.48779370322641 0.000521108820463195 0.00157834584422404 TRUE "si:dkey-11p23.7"
"70" "ENSDARG00000038066" 3301.04673188718 4.64587363994031 0.176010876120187 1.09329286054515e-154 1.12151601327848e-151 TRUE "kpna2"
"72" "ENSDARG00000090297" 182.782277704122 4.63345242431768 0.385125541509416 4.75574921752078e-34 2.14178839150688e-32 TRUE "ldlrad2"
"74" "ENSDARG00000035852" 36.4264532241179 4.60251016166983 0.836829349032269 1.00172988498308e-08 5.97233508340726e-08 TRUE "cart3"
"75" "ENSDARG00000077403" 13.3918139524916 4.54675880857573 1.47321666691364 0.000639729849170327 0.00190850900823681 TRUE "col8a1a"
"77" "ENSDARG00000016718" 4042.83252729573 4.49148685549647 0.155909597280689 1.96850802835079e-183 3.20716275654305e-180 TRUE "mmp11b"
"78" "ENSDARG00000005023" 14224.4354795553 4.4896281160559 0.146155301606236 3.41308272665066e-207 6.75229659143166e-204 TRUE "fkbp9"
"79" "ENSDARG00000091511" 1051.78840162013 4.48814271704416 0.213031051177367 9.38475504397567e-100 4.26114033529498e-97 TRUE "gpx7"
"80" "ENSDARG00000008403" 2076.44868691178 4.46869864067445 0.186536480165958 4.52254836454733e-128 3.21182107827865e-125 TRUE "phospho1"
"81" "ENSDARG00000051923" 1097.53648195575 4.44526015989089 0.220133551740831 7.15513535249022e-92 2.60757610339371e-89 TRUE "ccnb1"
"83" "ENSDARG00000014248" 402.1503914345 4.41526923559981 0.287669819989711 2.70547718064717e-54 2.68579216746899e-52 TRUE "pdlim3b"
"85" "ENSDARG00000093905" 45.8896200820397 4.40220928367466 0.719997603938394 1.83719022419832e-10 1.32167941921093e-09 TRUE "BX323559.5"
"86" "ENSDARG00000012485" 389.438459210297 4.40210863772537 0.278507645523944 2.8601253301408e-57 3.18140125577951e-55 TRUE "aurka"
"87" "ENSDARG00000041323" 18.831650259983 4.39824868183382 1.13917729302519 3.15772430502852e-05 0.000117965322466111 TRUE "csdc2a"
"88" "ENSDARG00000094324" 4294.07676820122 4.39119865620252 0.185636564365427 6.48724426641591e-125 4.38237084016882e-122 TRUE "efemp2a"
"89" "ENSDARG00000056986" 1019.87899243509 4.37110241802639 0.199892353855773 4.43781319098372e-107 2.19489485626207e-104 TRUE "dact2"
"91" "ENSDARG00000037859" 142.416147499825 4.31862306169478 0.408715171911345 7.65882447669594e-27 2.27116125836239e-25 TRUE "il11a"
"92" "ENSDARG00000037961" 7244.90303958483 4.31837966753296 0.155968702872361 5.47293373101924e-170 7.97809713410736e-167 TRUE "rcn3"
"93" "ENSDARG00000080484" 18.0231420003741 4.31808787674925 1.14885149235365 4.45518631518498e-05 0.000162404968901919 TRUE "dre-mir-21-2"
